3
0	(1),(0),(1),(-1),(0),(0),(0),(0),(0)
1	(-1),(1),(0),(0),(0),(0),(0),(0),(1)
2	(0),(0),(-1),(0),(1),(0),(0),(0),(0)
3	(0),(0),(0),(1),(-1),(-1),(1),(0),(0)
4	(0),(-1),(0),(0),(0),(1),(0),(0),(0)
5	(0),(0),(0),(0),(0),(0),(-1),(1),(0)
*********
a	(1),(0),(-1),(-1),(0),(0),(0),(0),(0)
b	(),(1),(0),(0),(0),(0),(0),(0),(1)
c	(0),(0),(1),(0),(1),(0),(0),(0),(0)
d	(0),(0),(0),(1),(-1),(-1),(1),(0),(0)
e	(-1),(-1),(0),(0),(0),(1),(0),(0),(0)
f	(0),(0),(0),(0),(0),(0),(-1),(1),(0)
g	(0),(0),(0),(0),(0),(0),(0),(0),(-1)
*********
a	(1),(0),(1),(1),(0),(0),(0),(0),(0)
b	(),(1),(0),(0),(0),(0),(0),(0),(1)
c	(0),(0),(1),(0),(1),(0),(0),(0),(0)
d	(0),(0),(0),(1),(1),(1),(1),(0),(0)
e	(1),(1),(0),(0),(0),(1),(0),(0),(0)
f	(0),(0),(0),(0),(0),(0),(1),(1),(0)
g	(0),(0),(0),(0),(0),(0),(0),(0),(1)
*********
